title,author,link,date,number_of_views
Трибуны не будут пустовать на The International — продажа билетов стартует 22 сентября,Лина Скорич,https://stopgame.ru/newsdata/49915/tribuny_ne_budut_pustovat_na_the_international_prodazha_biletov_startuet_22_sentyabrya,"
17 сентября 2021 ", 3362
Genshin Impact и сиквел Breath of the Wild — самые популярные игры в «Твиттере» за первое полугодие 2021-го,Руслан Присекин,https://stopgame.ru/newsdata/48572/genshin_impact_i_sikvel_breath_of_the_wild_samye_populyarnye_igry_v_tvittere_za_pervoe_polugodie_2021_go,"
21 июня 2021 ", 4579
Книга рекордов Гиннесса вернула звание рекордсмена «геймеру столетия» Билли Митчеллу,Геннадий Воробьев,https://stopgame.ru/newsdata/43604/kniga_rekordov_ginnessa_vernula_zvanie_rekordsmena_geymeru_stoletiya_billi_mitchellu,"
19 июня 2020 ", 14K
"Новый Бастион, новая Сомбра и киберспортивный шоу-матч — свежие подробности об Overwatch 2",Геннадий Воробьев,https://stopgame.ru/newsdata/50039/novyy_bastion_novaya_sombra_i_kibersportivnyy_shou_match_svezhie_podrobnosti_ob_overwatch_2,"
26 сентября 2021 ", 7317
«М.Видео» и JBL проводят турнир по Fortnite для всех желающих,Геннадий Воробьев,https://stopgame.ru/newsdata/43637/m_video_i_jbl_provodyat_turnir_po_fortnite_dlya_vseh_zhelayuschih,"
23 июня 2020 ", 18K
Отменён файтинг-турнир EVO 2020 — президента организации обвинили в непристойном сексуальном поведении,Геннадий Воробьев,https://stopgame.ru/newsdata/43771/otmen_n_fayting_turnir_evo_2020_prezidenta_organizacii_obvinili_v_nepristoynom_seksualnom_povedenii,"
3 июля 2020 ", 4001
Финальные этапы турнира Adrenaline Cyber League пройдут в эти выходные,Руслан Присекин,https://stopgame.ru/newsdata/43696/finalnye_etapy_turnira_adrenaline_cyber_league_proydut_v_eti_vyhodnye,"
26 июня 2020 ", 12K
"Завершился масштабный турнир Adrenaline Cyber League. Победитель — Дмитрий Осинцев, он же recrent",Андрей Маковеев,https://stopgame.ru/newsdata/43764/zavershilsya_masshtabnyy_turnir_adrenaline_cyber_league_pobeditel_dmitriy_osincev_on_zhe_recrent,"
2 июля 2020 ", 3496
Riot Games отказалась от партнёрства с саудовским городом Неом после осуждения сообщества,Геннадий Воробьев,https://stopgame.ru/newsdata/44111/riot_games_otkazalas_ot_partn_rstva_s_saudovskim_gorodom_neom_posle_osuzhdeniya_soobschestva,"
30 июля 2020 ", 3750
Blizzard увековечила Reckful — скончавшегося киберспортсмена World of Warcraft,Геннадий Воробьев,https://stopgame.ru/newsdata/44246/blizzard_uvekovechila_reckful_skonchavshegosya_kibersportsmena_world_of_warcraft,"
8 августа 2020 ", 16K
Noize MC даст эксклюзивный концерт на гранд-финале Континентальной лиги League of Legends,Руслан Присекин,https://stopgame.ru/newsdata/44339/noize_mc_dast_eksklyuzivnyy_koncert_na_grand_finale_kontinentalnoy_ligi_league_of_legends,"
16 августа 2020 ", 4429
The International 10 по Dota 2 собрал самый крупный призовой фонд в истории киберспорта,Геннадий Воробьев,https://stopgame.ru/newsdata/44503/the_international_10_po_dota_2_sobral_samyy_krupnyy_prizovoy_fond_v_istorii_kibersporta,"
27 августа 2020 ", 13K
"«Лига Легенд» — новая песня Noize MC, посвящённая League of Legends",Руслан Присекин,https://stopgame.ru/newsdata/44558/liga_legend_novaya_pesnya_noize_mc_posvyasch_nnaya_league_of_legends,"
29 августа 2020 ", 14K
"The International 10 пройдёт только в августе 2021-го, предполагает Valve",Геннадий Воробьев,https://stopgame.ru/newsdata/44653/the_international_10_proyd_t_tolko_v_avguste_2021_go_predpolagaet_valve,"
5 сентября 2020 ", 5354
Overwatch бесплатно раздадут в рамках акции Overwatch League ,Геннадий Воробьев,https://stopgame.ru/newsdata/45033/overwatch_besplatno_razdadut_v_ramkah_akcii_overwatch_league,"
1 октября 2020 ", 38K
Хэллоуин вернётся в Overwatch 13 октября,Геннадий Воробьев,https://stopgame.ru/newsdata/45179/hellouin_vern_tsya_v_overwatch_13_oktyabrya,"
12 октября 2020 ", 5264
"Blizzard завершает активную поддержку StarCraft II, но намекает на продолжение серии",Геннадий Воробьев,https://stopgame.ru/newsdata/45256/blizzard_zavershaet_aktivnuyu_podderzhku_starcraft_ii_no_namekaet_na_prodolzhenie_serii,"
16 октября 2020 ", 9968
Файтинг Virtua Fighter воскресят как киберспортивную игру,Геннадий Воробьев,https://stopgame.ru/newsdata/44959/fayting_virtua_fighter_voskresyat_kak_kibersportivnuyu_igru,"
25 сентября 2020 ", 2402
«1С Интерес» и New Wave Gaming готовят масштабные турниры по PUBG Mobile и Garena Free Fire,Андрей Маковеев,https://stopgame.ru/newsdata/45103/1s_interes_i_new_wave_gaming_gotovyat_masshtabnye_turniry_po_pubg_mobile_i_garena_free_fire,"
6 октября 2020 ", 2540
Киберспортсмену австралийской сцены CS:GO предлагали 2 000 долларов за договорной матч,Геннадий Воробьев,https://stopgame.ru/newsdata/45867/kibersportsmenu_avstraliyskoy_sceny_cs_go_predlagali_2_000_dollarov_za_dogovornoy_match,"
28 ноября 2020 ", 15K
Microsoft приобрела киберспортивную площадку smash.gg,Руслан Присекин,https://stopgame.ru/newsdata/45921/microsoft_priobrela_kibersportivnuyu_ploschadku_smash_gg,"
3 декабря 2020 ", 4947
"Nintendo запретила турнир по Super Smash Bros., потому что там использовали мод для хорошего неткода",Геннадий Воробьев,https://stopgame.ru/newsdata/45760/nintendo_zapretila_turnir_po_super_smash_bros_potomu_chto_tam_ispolzovali_mod_dlya_horoshego_netkoda,"
20 ноября 2020 ", 7387
Не ждите очных турниров по Fortnite в 2021 году,Руслан Присекин,https://stopgame.ru/newsdata/45977/ne_zhdite_ochnyh_turnirov_po_fortnite_v_2021_godu,"
7 декабря 2020 ", 3363
Valve остановила продажу билетов на турнир The International 2021 по Dota 2 и начала возвращать за них деньги,Руслан Присекин,https://stopgame.ru/newsdata/50155/valve_ostanovila_prodazhu_biletov_na_turnir_the_international_2021_po_dota_2_i_nachala_vozvraschat_za_nih_dengi,"
3 октября 2021 ", 5065
Ubisoft снимет кино про стариков-киберспортсменов,Геннадий Воробьев,https://stopgame.ru/newsdata/42712/ubisoft_snimet_kino_pro_starikov_kibersportsmenov,"
18 апреля 2020 ", 936
"В этом году The International не состоится, предполагает Valve",Геннадий Воробьев,https://stopgame.ru/newsdata/42868/v_etom_godu_the_international_ne_sostoitsya_predpolagaet_valve,"
1 мая 2020 ", 1391
Лучший игрок Overwatch League 2019 посреди сезона ушёл в VALORANT,Геннадий Воробьев,https://stopgame.ru/newsdata/42834/luchshiy_igrok_overwatch_league_2019_posredi_sezona_ush_l_v_valorant,"
29 апреля 2020 ", 1259
Valve начинает подбирать города для The International по типу Олимпиады,Геннадий Воробьев,https://stopgame.ru/newsdata/42047/valve_nachinaet_podbirat_goroda_dlya_the_international_po_tipu_olimpiady,"
27 февраля 2020 ", 510
Премьера VALORANT — смеси Counter-Strike и Overwatch от создателей League of Legends,Геннадий Воробьев,https://stopgame.ru/newsdata/42092/premera_valorant_smesi_counter_strike_i_overwatch_ot_sozdateley_league_of_legends,"
2 марта 2020 ", 1928
"CS:GO ставит новые рекорды — возможно, из-за коронавируса",Геннадий Воробьев,https://stopgame.ru/newsdata/42095/cs_go_stavit_novye_rekordy_vozmozhno_iz_za_koronavirusa,"
2 марта 2020 ", 562
Бразильский суд приговорил экс-киберспортсменку по CS к 116 годам тюрьмы за мошенничество,Андрей Маковеев,https://stopgame.ru/newsdata/42133/brazilskiy_sud_prigovoril_eks_kibersportsmenku_po_cs_k_116_godam_tyurmy_za_moshennichestvo,"
4 марта 2020 ", 789
"Из-за коронавируса отменили SXSW 2020, Minecraft Festival и несколько киберспортивных состязаний",Геннадий Воробьев,https://stopgame.ru/newsdata/42176/iz_za_koronavirusa_otmenili_sxsw_2020_minecraft_festival_i_neskolko_kibersportivnyh_sostyazaniy,"
7 марта 2020 ", 731
EA отменяет все события с живой аудиторией и строго рекомендует сотрудникам работать из дома,Геннадий Воробьев,https://stopgame.ru/newsdata/42276/ea_otmenyaet_vse_sobytiya_s_zhivoy_auditoriey_i_strogo_rekomenduet_sotrudnikam_rabotat_iz_doma,"
14 марта 2020 ", 683
