title,dev,date
The Amazing Spider-Man 2 (1992),,
Spider-Man and the X-Men in Arcade's Revenge,Acclaim Entertainment,
The Amazing Spider-Man: Lethal Foes,"Epoch Co., Ltd.",
Spider-Man: Return of the Sinister Six,,
The Amazing Spider-Man 3: Invasion of the Spider-Slayers,,
Venom/Spider-Man: Separation Anxiety,Acclaim Entertainment,
Spider-Man: The Animated Series,Acclaim Entertainment,
The Amazing Spider-Man: Web of Fire,SEGA,
Spider-Man: Mysterio's Menace,Activision,
Spider-Man 2: The Sinister Six,Activision,
Spider-Man: Toxic City,Gameloft,
Spider-Man: Battle for New York,Activision,
Ultimate Spider-Man: Total Mayhem,Gameloft,
Quake: Dimension of the Past,Bethesda Softworks,
Soccer Story,,
Marvel's Spider-Man: The City That Never Sleeps,Insomniac Games,"
23 октября 2018 г. "
Quake: Dimension of the Machine,Bethesda Softworks,
Quake II Mission Pack: The Reckoning,,"
30 мая 1998 г. "
Spider-Man vs. The Kingpin,Acclaim Entertainment,
Donkey Kong 3,Nintendo,
Donkey Kong Jr. Math,Nintendo,
Donkey Kong '94,Nintendo,
Donkey Kong Country,Rare,"
18 ноября 1994 г. "
Donkey Kong Land,Nintendo,
Dying Light 2: Stay Human - Bloody Ties,Techland,"
10 ноября 2022 г. "
Donkey Kong Country 2: Diddy's Kong Quest,Rare,"
21 ноября 1995 г. "
Donkey Kong Land 2,Nintendo,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare,"
18 ноября 1996 г. "
Donkey Kong Land III,Nintendo,
Diddy Kong Racing,Nintendo,
Donkey Kong 64,Nintendo,
Donkey Konga 2,Nintendo,
Donkey Kong Jungle Beat,Nintendo,
Donkey Konga,Nintendo,
Mario vs. Donkey Kong: Minis March Again!,Nintendo,
Donkey Kong Barrel Blast,Nintendo,
DK Jungle Climber,Nintendo,
DK King of Swing,Nintendo,
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,
Mario and Donkey Kong: Minis on the Move,Nintendo,
Mario vs. Donkey Kong: Tipping Stars,Nintendo,
Castlevania: Rondo of Blood,Konami,
Castlevania: Bloodlines,Konami,
Castlevania: Legacy of Darkness,Konami,
Castlevania 64,Konami,
Castlevania: Circle of the Moon,Konami,
Castlevania Legends,Konami,
Castlevania: Lament of Innocence,Konami,
Castlevania: Dawn of Sorrow,Konami,"
25 августа 2005 г. "
Castlevania: Harmony of Dissonance,Konami,"
6 июня 2002 г. "
Castlevania: Curse of Darkness,Konami,
Castlevania: Portrait of Ruin,Konami,"
16 ноября 2006 г. "
Castlevania: Order of Ecclesia,Konami,"
21 октября 2008 г. "
Kid Dracula,Konami,
Castlevania: Grimoire of Souls,Konami,"
17 сентября 2021 г. "
Silent Hill 2: Restless Dreams,Team Silent,"
20 декабря 2001 г. "
